,Caption,Comments,Likes,URL
0,"@timo_levin wall in Kamianske, Ukraine 🇺🇦(2021)
•
#timolevin #urbanart #streetart #painting #streetartofficial #contemporaryart #Kamianske #Ukraine 🇺🇦",11.0,2276.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/158372463_512984559720837_572285292415942510_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6_ksk0bHBBcAX8HQqDP&ccb=7-4&oh=680dae3ff063f91823cd44e26cfc9aee&oe=608AE718&_nc_sid=30a2ef&ig_cache_key=MjUyNDk2MTA4NjQzNDA1NzM5NQ%3D%3D.2-ccb7-4
1,"@jr wall in Paris, France 🇫🇷 (2021)
•
#jr #urbanart #streetart #painting #streetartofficial #contemporaryart #paris #france🇫🇷",46.0,6517.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/157761940_2778573802384335_6270178842002622930_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=R6VbYkZkEMkAX8guwSS&ccb=7-4&oh=fdd6ba77572fcc7750e22954c3947256&oe=60892B27&_nc_sid=30a2ef&ig_cache_key=MjUyNDE2MDgwMDgwNzI3NzE1Nw%3D%3D.2-ccb7-4
2,"@3ttman wall in Lodz, Poland 🇵🇱(2013)
•
#3ttman #urbanart #streetart #painting #streetartofficial #contemporaryart #lodz #poland🇵🇱",37.0,5589.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/146350328_126116469380574_162180671550608328_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ep0-8pWrkI0AX8EUAO1&ccb=7-4&oh=f78b6ab0adf596045ca83bdd513608cb&oe=608A8B81&_nc_sid=30a2ef&ig_cache_key=MjUwMzA1NTEyMTAzNjM0NTE0OQ%3D%3D.2-ccb7-4
3,"@jessieandkatey wall in Philadelphia, USA 🇺🇸 (2019)
•
#jessieandkatey #urbanart #streetart #painting #streetartofficial #contemporaryart #philadelphia #usa🇺🇸",31.0,5188.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/146706414_737079953669795_944093302767003506_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=4khvgUb7ZocAX-vlfBK&ccb=7-4&oh=a9b0f0db525efb7e41c883924757ac6b&oe=60891ED7&_nc_sid=30a2ef&ig_cache_key=MjUwMjI4NzM2MDU1OTMzNjA4NQ%3D%3D.2-ccb7-4
4,"@romanlinacero wall in Nava de la Asunción, Segovia, Spain 🇪🇸 
•
#romanlinacero #urbanart #streetart #painting #streetartofficial #contemporaryart #segovia #spain🇪🇸",24.0,3584.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/140250736_927212731148542_2362302082240482627_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=BxofeMBjn7IAX9QzeGe&ccb=7-4&oh=ab9da3726d9f2d7d1319a25c742d6a49&oe=608B8605&_nc_sid=498da5
5,"@mr_aryz wall in Versailles, France 🇫🇷 (2020)
•
#mraryz #urbanart #streetart #painting #streetartofficial #contemporaryart #versailles #france🇫🇷",20.0,2542.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/131895681_239989744138876_8920367692920709294_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=RQzOEOjJs2IAX8wL3Sl&ccb=7-4&oh=30dcb8331c060f2a1f380246791d3fdf&oe=60890B28&_nc_sid=498da5
6,"@akacorleone wall in Panoramico de Monsanto, Portugal 🇵🇹 (2020)
•
#akacorleone #urbanart #streetart #painting #streetartofficial #contemporaryart #panoramicodemonsanto #portugal🇵🇹",20.0,3118.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/127427937_1873623912777073_8527820441279316187_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=zJRhIlkY5q0AX9a_o9Q&ccb=7-4&oh=553fe60ec9b21818fa9741f31764a14d&oe=608A313E&_nc_sid=30a2ef&ig_cache_key=MjQ0OTc2ODUwOTExMjU3NjM0NQ%3D%3D.2-ccb7-4
7,"@3ttman wall in Rabat, Morocco 🇲🇦 (2020)
•
#3ttman #urbanart #streetart #painting #streetartofficial #contemporaryart #rabat #morocco🇲🇦",24.0,3994.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/123528531_497219097901240_6308917020093783636_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=cDYXCwUPvjcAX_D0J5R&ccb=7-4&oh=807c5cbeea8bf759fdbc44fd7fe8aa07&oe=60887F2E&_nc_sid=30a2ef&ig_cache_key=MjQzNDkzNDE1NTE3MzY0ODI4Nw%3D%3D.2-ccb7-4
8,"@pejac_art wall in Santander, Spain 🇪🇸(2020)
•
#pejac #urbanart #streetart #painting #streetartofficial #contemporaryart #valdecilla #santander #spain",10.0,2078.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/122109472_211597740400799_3571048121826684593_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=W4eSLVCexgIAX98M8Uc&ccb=7-4&oh=73b9eea96084c455bbc8058be2ccb113&oe=608BEB4B&_nc_sid=30a2ef&ig_cache_key=MjQyNDc5NzgwODE2MTE1NjQzNQ%3D%3D.2-ccb7-4
9,"@rimonguimaraes wall in Sâo Paulo, Brasil 🇧🇷
•
#rimonguimaraes #urbanart #streetart #painting #streetartofficial #contemporaryart #saopaulo #brasil🇧🇷",14.0,2885.0,https://scontent-bos3-1.cdninstagram.com/v/t51.2885-15/e35/121022046_661367041461215_9007118789115046199_n.jpg?tp=1&_nc_ht=scontent-bos3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=UbpJpi0XJ3wAX9WXUsr&ccb=7-4&oh=0e10dc8dfaf1a9db1a891138a228faba&oe=608881BA&_nc_sid=30a2ef&ig_cache_key=MjQxNjA5Nzk1Mjc4OTkzMzE3Mg%3D%3D.2-ccb7-4
